PDBchain   len  method   resol   rfac  freerfac
5H2DA      435  XRAY       1.6  0.178   0.21
2ONRA      314  XRAY       1.6  0.178  0.235
4KGIA      223  XRAY       1.6  0.178   0.21
8Y58A      192  XRAY       1.6  0.178  0.203
2HA8A      184  XRAY       1.6  0.178  0.209
7Q8YA      300  XRAY       1.6  0.179  0.205
6I0XA      438  XRAY       1.6   0.18  0.193
7Q2AA      381  XRAY       1.6   0.18  0.209
2DE3A      365  XRAY       1.6   0.18  0.196
8HD2A      354  XRAY       1.6  0.181  0.208
5AZBA      300  XRAY       1.6  0.181  0.222
7PBGA      529  XRAY       1.6  0.182  0.207
8JK9A      216  XRAY       1.6  0.182  0.211
8ZAGA      413  XRAY       1.6  0.183  0.224
8QHEA      305  XRAY       1.6  0.183  0.211
8C3WA      230  XRAY       1.6  0.183    0.2
2DVNA      186  XRAY       1.6  0.183  0.188
2D1RA      548  XRAY       1.6  0.185   0.21
6YJSAAA    515  XRAY       1.6  0.185  0.214
3MB5A      255  XRAY       1.6  0.185  0.199
3UP0A      243  XRAY       1.6  0.185  0.202
4MINA      351  XRAY       1.6  0.186  0.214
8VIGA      463  XRAY       1.6  0.187  0.207
3DG6A      367  XRAY       1.6  0.187  0.201
5AANA      187  XRAY       1.6  0.187  0.209
2DY1A      665  XRAY       1.6  0.188  0.204
1V2BA      177  XRAY       1.6  0.188  0.207
2FCUA      313  XRAY       1.6  0.189  0.212
4S1HA      287  XRAY       1.6  0.189  0.219
6E6TA      275  XRAY       1.6  0.189  0.218
2IMDA      203  XRAY       1.6  0.189  0.226
2DVMA      439  XRAY       1.6  0.191  0.207
7YX0A      175  XRAY       1.6  0.191  0.238
2JCBA      200  XRAY       1.6  0.192  0.238
2W0AA      455  XRAY       1.6  0.193  0.232
5APGA      185  XRAY       1.6  0.193  0.203
1OJNA      731  XRAY       1.6  0.194  0.209
8V6SA      240  XRAY       1.6  0.194  0.219
5F2KA      368  XRAY       1.6  0.196  0.218
7LJNA      416  XRAY       1.6  0.197  0.218
4J9WA      332  XRAY       1.6  0.199  0.232
8BAUA      189  XRAY       1.6  0.199  0.228
3FSMA      203  XRAY       1.6  0.201  0.235
2EX8A      458  XRAY       1.6  0.202   0.23
2VVGA      350  XRAY       1.6  0.203  0.224
1O26A      232  XRAY       1.6  0.203  0.218
3R95A      188  XRAY       1.6  0.204  0.228
2CIRA      297  XRAY       1.6  0.208  0.234
1E2FA      215  XRAY       1.6   0.21  0.264
3M0FA      213  XRAY       1.6   0.21   0.22
6I5RA      444  XRAY       1.6  0.218  0.246
4BVXA      215  XRAY       1.6  0.218  0.247
4BVXB      171  XRAY       1.6  0.218  0.247
1G12A      167  XRAY       1.6  0.218  0.229
3IE7A      320  XRAY       1.6  0.219  0.239
4XCBA      261  XRAY       1.6  0.223  0.253
3OV9A      245  XRAY       1.6  0.223  0.254
8JQOA      411  XRAY       1.6  0.224  0.246
4DQDA      363  XRAY     1.601  0.144  0.162
3PFTA      157  XRAY     1.601  0.174  0.196
4BG4A      356  XRAY     1.601  0.193  0.225
9FCTA      256  XRAY     1.603   0.19  0.213
6EUGA      374  XRAY      1.61  0.136  0.187
8XHXA      306  XRAY      1.61  0.157  0.181
8HE1A      280  XRAY      1.61  0.166  0.187
2EPNA      627  XRAY      1.61  0.169  0.202
6NXIA      328  XRAY      1.61  0.174  0.214
7E5VA      389  XRAY      1.61  0.184  0.211
8YSDA      349  XRAY      1.61  0.189  0.214
4O1EA      290  XRAY      1.61   0.19  0.212
3L0QA      554  XRAY      1.61  0.193  0.222
5IBZA      323  XRAY     1.611  0.134  0.161
6Y0RAAA    492  XRAY     1.611  0.174  0.198
6J7BA      250  XRAY     1.618  0.179  0.197
6J7BB       52  XRAY     1.618  0.179  0.197
4K36A      392  XRAY     1.619  0.183  0.195
6CZ7A      814  XRAY      1.62  0.138  0.155
7DWAA      348  XRAY      1.62  0.148  0.175
4GBMA      323  XRAY      1.62   0.16  0.182
5JRZA      449  XRAY      1.62  0.162  0.193
6SSYA      298  XRAY      1.62  0.168  0.203
5UQIA      198  XRAY      1.62  0.181  0.201
9EGRA      208  XRAY      1.62  0.191  0.219
6YJEA      416  XRAY      1.62  0.198  0.232
4U0PB      296  XRAY     1.623  0.179  0.207
3KTAA      182  XRAY     1.627  0.177  0.206
3KTAB      173  XRAY     1.627  0.177  0.206
3E81A      164  XRAY     1.629  0.176  0.207
8A18CCC    570  XRAY      1.63  0.129  0.158
8A18AAA    100  XRAY      1.63  0.129  0.158
8TN3A      415  XRAY      1.63   0.14  0.161
6JAMA      408  XRAY      1.63   0.14  0.166
6ALWA      288  XRAY      1.63  0.157  0.197
9NTGA      541  XRAY      1.63  0.158  0.182
5XVRA      384  XRAY      1.63  0.165    0.2
6I79A      276  XRAY      1.63  0.166  0.217
1MG5A      255  XRAY      1.63  0.168  0.205
1TQHA      247  XRAY      1.63  0.171  0.228
5C50A      198  XRAY      1.63  0.177  0.195
5C50B      194  XRAY      1.63  0.177  0.195
4Y0HA      463  XRAY      1.63  0.178  0.203
8R3UAAA    370  XRAY      1.63   0.18   0.21
7E1PA      156  XRAY      1.63  0.184  0.223
7FJUB      308  XRAY      1.63  0.199   0.24
7FJUA      258  XRAY      1.63  0.199   0.24
1N83A      270  XRAY      1.63  0.202  0.223
2YZQA      282  XRAY      1.63  0.225  0.243
5H1WA      290  XRAY     1.631  0.162  0.181
7PT4A      612  XRAY      1.64  0.147  0.175
4C3SA      445  XRAY      1.64  0.148  0.174
2Z0XA      158  XRAY      1.64  0.158  0.186
4J6RG      359  XRAY      1.64  0.165  0.198
8Y9PA      256  XRAY      1.64  0.166  0.187
8GICC       69  XRAY      1.64  0.167  0.197
8HJOA      458  XRAY      1.64  0.168  0.195
6DJTA      331  XRAY      1.64   0.17  0.195
4QT6A      159  XRAY      1.64  0.171  0.212
8TYGA      461  XRAY      1.64   0.18  0.211
5RYMA      286  XRAY      1.64  0.212   0.24
5SYNA      231  XRAY      1.64   0.22   0.25
7YXGA      322  XRAY     1.641  0.163  0.186
4OZVA      335  XRAY     1.642  0.177  0.194
3NEHA      318  XRAY     1.642  0.198  0.219
5AYVA      309  XRAY     1.647   0.17  0.189
5MPTA      414  XRAY     1.648  0.188  0.217
4NAOA      326  XRAY     1.649  0.158  0.182
6FULA      531  XRAY     1.649  0.178  0.208
6CVQA      180  XRAY      1.65   0.12  0.168
5FSBA      227  XRAY      1.65  0.135  0.167
1DWKA      156  XRAY      1.65  0.138  0.181
6HBVA      440  XRAY      1.65  0.144  0.174
4ACIA      191  XRAY      1.65  0.145  0.205
2RFQA      394  XRAY      1.65  0.147  0.171
4D05A      258  XRAY      1.65  0.147  0.192
3FF1A      446  XRAY      1.65  0.148   0.17
2W92A      653  XRAY      1.65  0.149  0.187
3BEMA      218  XRAY      1.65  0.152  0.175
7K4OA      554  XRAY      1.65  0.153  0.174
1W2YA      229  XRAY      1.65  0.153  0.194
6NDSA      320  XRAY      1.65  0.154  0.168
5X49A      456  XRAY      1.65  0.155  0.177
2IWZA      438  XRAY      1.65  0.156  0.188
5DZFA      208  XRAY      1.65  0.157  0.201
2RFMA      192  XRAY      1.65  0.157  0.178
9GM0A      308  XRAY      1.65  0.158  0.181
7TEMA      427  XRAY      1.65   0.16  0.189
4NV0A      319  XRAY      1.65  0.161  0.194
6F2FA      166  XRAY      1.65  0.161   0.17
4P0GA      435  XRAY      1.65  0.162  0.187
8CTRA      304  XRAY      1.65  0.162  0.184
7OLIA      242  XRAY      1.65  0.163  0.191
4GYJA      648  XRAY      1.65  0.164   0.19
8QD8A      431  XRAY      1.65  0.165  0.188
2QHFA      407  XRAY      1.65  0.165  0.186
7R86C       54  XRAY      1.65  0.166  0.195
3ALUA      157  XRAY      1.65  0.167  0.203
3ZL8A      437  XRAY      1.65  0.169   0.22
8ZA7A      332  XRAY      1.65  0.169  0.193
3OISA      291  XRAY      1.65  0.169  0.216
8ZA7B      180  XRAY      1.65  0.169  0.193
8K2MA      581  XRAY      1.65   0.17  0.195
6FUXA      272  XRAY      1.65   0.17  0.202
2IMLA      199  XRAY      1.65   0.17  0.197
1KOLA      398  XRAY      1.65  0.171  0.206
3KGWA      393  XRAY      1.65  0.171  0.198
4FAIA      330  XRAY      1.65  0.172  0.202
6ICNA      369  XRAY      1.65  0.173  0.204
7OXYA      508  XRAY      1.65  0.174  0.195
5T57A      296  XRAY      1.65  0.174  0.203
4WP8A      171  XRAY      1.65  0.174  0.215
4QMAA      208  XRAY      1.65  0.175    0.2
4AMPA      421  XRAY      1.65  0.176  0.213
9CSZA      195  XRAY      1.65  0.176  0.203
4XJ3A      389  XRAY      1.65  0.177  0.207
5B50A      345  XRAY      1.65  0.178  0.207
4PYHA      294  XRAY      1.65  0.179  0.218
2Y2XA      390  XRAY      1.65   0.18  0.201
2CULA      232  XRAY      1.65   0.18  0.199
8ODQB      418  XRAY      1.65  0.181  0.214
4BJAA      266  XRAY      1.65  0.181  0.234
8ODQA      166  XRAY      1.65  0.181  0.214
8QVTA      561  XRAY      1.65  0.182  0.201
1JAYA      212  XRAY      1.65  0.182  0.206
4XTUA      270  XRAY      1.65  0.183  0.213
5J71A      400  XRAY      1.65  0.184  0.197
1MQQA      679  XRAY      1.65  0.185  0.229
4Z1DA      276  XRAY      1.65  0.187  0.212
1OGOX      574  XRAY      1.65  0.188  0.215
2B9EA      309  XRAY      1.65  0.188  0.222
7A76A      326  XRAY      1.65  0.191  0.218
3DNFA      297  XRAY      1.65  0.194  0.226
6BXWA      278  XRAY      1.65  0.197  0.219
2DURA      253  XRAY      1.65    0.2  0.228
6DXSA      342  XRAY      1.65  0.206  0.266
3A3UA      272  XRAY      1.65  0.206  0.237
2DEKA      265  XRAY      1.65   0.21  0.224
2IVNA      330  XRAY      1.65  0.213  0.224
4LH6A      323  XRAY      1.65  0.221  0.248
8B2AAAA    238  XRAY      1.65  0.221  0.255
4RP9A      465  XRAY     1.651  0.136  0.174
4NPLA      250  XRAY     1.651   0.21  0.238
4ZSIA      171  XRAY     1.652  0.192  0.232
5XFIA      153  XRAY     1.653  0.189   0.22
9GM3A      375  XRAY     1.653  0.194  0.213
9GM3B       77  XRAY     1.653  0.194  0.213
6BXOA      327  XRAY     1.655  0.183  0.217
2YYJA      481  XRAY      1.66  0.159  0.167
3IM0A      252  XRAY      1.66  0.163  0.216
3DWRA      309  XRAY      1.66  0.164  0.186
8VPOA      472  XRAY      1.66  0.166  0.192
4PFXA      277  XRAY      1.66  0.166  0.192
1VPMA      169  XRAY      1.66  0.171  0.197
5ABXB       41  XRAY      1.66  0.174  0.194
4II9A      343  XRAY      1.66  0.178  0.209
5E1ZB      180  XRAY      1.66  0.182  0.211
9H39A      227  XRAY      1.66  0.183  0.225
3DNTA      440  XRAY      1.66  0.184  0.217
1TKUA      204  XRAY      1.66  0.184  0.218
2FT0A      235  XRAY      1.66  0.204  0.223
1L3LA      234  XRAY      1.66  0.246  0.266
5MOBA      232  XRAY     1.669  0.193  0.222
3B69A      648  XRAY      1.67  0.147  0.183
4JMDA      302  XRAY      1.67  0.148  0.169
6YA7B      144  XRAY      1.67  0.158  0.185
3WL7A      364  XRAY      1.67   0.16   0.19
5AXSA      174  XRAY      1.67  0.163  0.188
9NNAA      474  XRAY      1.67  0.172  0.207
7RPYA      256  XRAY      1.67  0.182  0.196
4EE7A      304  XRAY      1.67  0.189  0.224
6WTEA      575  XRAY      1.67  0.191  0.215
3GUZA      176  XRAY      1.67  0.191  0.246
3TVQA      169  XRAY      1.67  0.208  0.233
7NRRAAA    334  XRAY      1.67  0.209  0.265
5YGGA      323  XRAY     1.671  0.165  0.195
5YSCA      271  XRAY     1.673  0.199  0.227
4KRGA      466  XRAY      1.68  0.123   0.14
4GZIA      323  XRAY      1.68  0.138  0.171
4HXYA      438  XRAY      1.68  0.156  0.188
9CG1A      443  XRAY      1.68   0.16  0.198
5LKDA      378  XRAY      1.68  0.161    0.2
3KGDA      358  XRAY      1.68   0.17  0.207
8PVSA      731  XRAY      1.68  0.171    0.2
7YLRA      330  XRAY      1.68  0.179  0.209
4AVXA      226  XRAY      1.68  0.184  0.231
2IGBA      179  XRAY      1.68  0.185  0.224
5GUDA      471  XRAY      1.68  0.193  0.226
3FUXA      271  XRAY      1.68  0.202  0.239
6E8IA      169  XRAY      1.68  0.218   0.25
4F6OA      350  XRAY     1.681  0.171  0.187
6KBWA      467  XRAY     1.686  0.179  0.206
5ER9A      400  XRAY     1.689  0.188   0.22
7TZ4A      547  XRAY      1.69  0.152  0.179
5COTA      340  XRAY      1.69   0.16    0.2
5AZPA      455  XRAY      1.69  0.161   0.18
7RH8A      218  XRAY      1.69  0.163  0.192
9IQCA      238  XRAY      1.69  0.175  0.193
3ICWA      316  XRAY      1.69   0.18  0.199
9EOLA      251  XRAY      1.69  0.181  0.205
7NF4A      508  XRAY      1.69  0.192   0.22
7YF2A      275  XRAY     1.691   0.18  0.218
9BCJC      198  XRAY     1.691   0.19  0.215
9BCJB      146  XRAY     1.691   0.19  0.215
6CV7A      377  XRAY     1.692   0.17  0.188
8RCWA      229  XRAY     1.692  0.187  0.217
5KUTA      189  XRAY     1.693  0.219  0.238
3RF6A      355  XRAY     1.695   0.17  0.194
5GXEA      331  XRAY     1.696  0.169  0.198
6FDFA      334  XRAY     1.697  0.174  0.195
4AVAA      333  XRAY     1.698  0.193   0.23
3M84A      350  XRAY     1.699  0.155  0.183
5YNVA      329  XRAY       1.7  0.118  0.171
5OCQA      285  XRAY       1.7  0.137  0.166
5G5GC      732  XRAY       1.7   0.14  0.167
7E1QA      372  XRAY       1.7  0.145  0.173
5C55A      312  XRAY       1.7  0.146  0.176
5UPMA      753  XRAY       1.7  0.147  0.167
1M33A      258  XRAY       1.7  0.147  0.188
4TMEA      225  XRAY       1.7  0.148  0.162
4BOLA      259  XRAY       1.7  0.149  0.178
5YRTA      554  XRAY       1.7   0.15  0.187
5YRTB      200  XRAY       1.7   0.15  0.187
5YRTC      137  XRAY       1.7   0.15  0.187
1JQ5A      370  XRAY       1.7  0.151   0.19
7P46A      282  XRAY       1.7  0.151  0.185
3ZJHA      195  XRAY       1.7  0.152  0.215
4CNLA      182  XRAY       1.7  0.153   0.19
4W5KA      396  XRAY       1.7  0.154  0.183
8J5FA      247  XRAY       1.7  0.154  0.195
3O14A      223  XRAY       1.7  0.154  0.187
4FKXA      161  XRAY       1.7  0.154  0.182
5H5FA      234  XRAY       1.7  0.155  0.178
8WKJA      399  XRAY       1.7  0.156  0.172
5TPRA      444  XRAY       1.7  0.157  0.183
2Z9VA      392  XRAY       1.7  0.157  0.186
6Z55A      360  XRAY       1.7  0.158  0.195
4C4AA      692  XRAY       1.7  0.161   0.19
8WKCA      537  XRAY       1.7  0.161  0.187
3CINA      394  XRAY       1.7  0.161  0.194
9HI3A      198  XRAY       1.7  0.161  0.205
2WYAA      460  XRAY       1.7  0.162  0.184
7YEOA      398  XRAY       1.7  0.162  0.186
2D8LA      373  XRAY       1.7  0.162  0.219
8Q5XA      288  XRAY       1.7  0.162  0.186
7BVDA      524  XRAY       1.7  0.164    0.2
2A14A      263  XRAY       1.7  0.164  0.197
7AGOA      233  XRAY       1.7  0.164  0.187
2CXXA      190  XRAY       1.7  0.164  0.202
3S9YA      342  XRAY       1.7  0.165  0.201
5J5LA      160  XRAY       1.7  0.165   0.19
3BG6A      623  XRAY       1.7  0.166  0.198
2BKAA      242  XRAY       1.7  0.166  0.191
3JSZA      525  XRAY       1.7  0.167  0.193
1R3QA      367  XRAY       1.7  0.167  0.192
5GT9A      263  XRAY       1.7  0.167  0.201
1YCDA      243  XRAY       1.7  0.167  0.202
4MVNA      200  XRAY       1.7  0.167  0.209
5CFSA      185  XRAY       1.7  0.167  0.193
2IYAA      424  XRAY       1.7  0.168  0.198
6O0AA      413  XRAY       1.7  0.169  0.198
3GCZA      282  XRAY       1.7  0.169  0.198
4YMIA      233  XRAY       1.7  0.169  0.195
7APEA      451  XRAY       1.7   0.17  0.196
4AW2A      437  XRAY       1.7   0.17  0.193
3ZBQA      333  XRAY       1.7   0.17  0.203
9BXNA      273  XRAY       1.7   0.17  0.193
1D1QA      161  XRAY       1.7   0.17  0.215
1LJ8A      493  XRAY       1.7  0.171  0.197
8PNWA      281  XRAY       1.7  0.172  0.192
6NNWA      208  XRAY       1.7  0.172  0.204
6KO7A      194  XRAY       1.7  0.172  0.235
3B4PA      185  XRAY       1.7  0.172  0.214
4J7GA      471  XRAY       1.7  0.173  0.197
7VRDA      439  XRAY       1.7  0.173  0.197
8CQVA      202  XRAY       1.7  0.173  0.206
2ZWAA      695  XRAY       1.7  0.174  0.211
9G0GA      155  XRAY       1.7  0.175  0.204
4AKOA      513  XRAY       1.7  0.176  0.194
6Q4YA      341  XRAY       1.7  0.176  0.213
3TDWA      306  XRAY       1.7  0.176   0.22
7DF2A      212  XRAY       1.7  0.176  0.212
5WXUA      479  XRAY       1.7  0.177  0.227
5WQKA      293  XRAY       1.7  0.177  0.221
1IZCA      339  XRAY       1.7  0.178  0.203
6GUDA      292  XRAY       1.7  0.178  0.201
2F2TA      161  XRAY       1.7  0.178  0.204
8QNCA      511  XRAY       1.7   0.18  0.212
4DMGA      393  XRAY       1.7   0.18  0.208
3A65A      392  XRAY       1.7   0.18  0.201
3F98A      383  XRAY       1.7   0.18  0.202
7ROUA      365  XRAY       1.7   0.18  0.209
6D64A      300  XRAY       1.7   0.18  0.211
2JBFA      298  XRAY       1.7   0.18  0.218
8K5VA      242  XRAY       1.7   0.18  0.217
5WOLA      239  XRAY       1.7   0.18  0.218
6D64B      101  XRAY       1.7   0.18  0.211
2DWCA      433  XRAY       1.7  0.181  0.204
3MTWA      403  XRAY       1.7  0.181  0.203
6O6NA      195  XRAY       1.7  0.182   0.21
2IFCA      385  XRAY       1.7  0.183  0.234
6JIFA      359  XRAY       1.7  0.183  0.223
2ZPUA      323  XRAY       1.7  0.183  0.209
6NOPA      278  XRAY       1.7  0.183  0.204
7T18A      451  XRAY       1.7  0.184  0.225
3AQIA      359  XRAY       1.7  0.184  0.214
3AB8A      268  XRAY       1.7  0.184  0.218
7BNRA      212  XRAY       1.7  0.184  0.211
2WGRA      169  XRAY       1.7  0.184  0.211
1EYEA      280  XRAY       1.7  0.185  0.243
2OHHA      404  XRAY       1.7  0.186  0.218
8BECB      199  XRAY       1.7  0.186  0.207
7SV3A      182  XRAY       1.7  0.186  0.213
1LVWA      295  XRAY       1.7  0.187  0.215
5WCJA      248  XRAY       1.7  0.188  0.212
2NSPA      342  XRAY       1.7  0.189  0.204
1H0AA      158  XRAY       1.7  0.189  0.228
1DBGA      506  XRAY       1.7   0.19   0.21
3DMEA      369  XRAY       1.7   0.19  0.217
6YK9A      342  XRAY       1.7   0.19  0.216
9EPNA      277  XRAY       1.7   0.19  0.217
2FA1A      160  XRAY       1.7   0.19  0.241
1QD1A      325  XRAY       1.7  0.191  0.213
2YG2A      172  XRAY       1.7  0.192  0.221
4KHMA      579  XRAY       1.7  0.193  0.207
3WNBA      370  XRAY       1.7  0.193  0.233
1KDKA      177  XRAY       1.7  0.194  0.245
1YLHA      560  XRAY       1.7  0.195  0.215
1JNEA      420  XRAY       1.7  0.195  0.259
6RKEA      275  XRAY       1.7  0.195  0.214
1LPCA      254  XRAY       1.7  0.195   0.24
7SEZA      221  XRAY       1.7  0.195  0.224
7B7ZB      523  XRAY       1.7  0.196  0.221
7B7ZA      343  XRAY       1.7  0.196  0.221
9FBKA      316  XRAY       1.7  0.196  0.232
1NRJA      158  XRAY       1.7  0.196  0.229
7ZHUA      562  XRAY       1.7  0.199  0.227
6VBYA      507  XRAY       1.7  0.199  0.215
3T5GB      152  XRAY       1.7  0.199  0.235
3QVSA      392  XRAY       1.7  0.201  0.243
3VT3A      271  XRAY       1.7  0.202  0.241
3LSZA      225  XRAY       1.7  0.206  0.226
2O99A      182  XRAY       1.7  0.207  0.261
2GJ8A      172  XRAY       1.7  0.208  0.256
1KAEA      434  XRAY       1.7  0.213  0.241
1OIOA      178  XRAY       1.7  0.216  0.238
3N0YA      179  XRAY       1.7  0.217  0.251
3PSAA      326  XRAY       1.7   0.22  0.235
1UPTB       60  XRAY       1.7  0.222  0.252
4LJ3A      279  XRAY       1.7  0.223  0.254
3BNFA      485  XRAY       1.7  0.235   0.28
4N6DA      346  XRAY     1.701  0.147  0.184
3B08B       64  XRAY     1.701  0.175  0.211
3LJUX      386  XRAY     1.702  0.193  0.231
8H0MA      403  XRAY     1.702  0.205  0.225
8PU1B      207  XRAY     1.702  0.225  0.246
8PU1A       75  XRAY     1.702  0.225  0.246
7EVVA      500  XRAY     1.704  0.155  0.181
6R6UA      462  XRAY     1.705  0.146  0.162
3UMVA      506  XRAY     1.705  0.182  0.217
5K0AA      330  XRAY     1.706  0.166  0.193
6PVGA      459  XRAY     1.709  0.164  0.192
4OMFB      281  XRAY      1.71  0.152  0.181
4OMFG      275  XRAY      1.71  0.152  0.181
7RC6A      384  XRAY      1.71  0.166  0.188
9H8ZA      445  XRAY      1.71  0.175  0.227
7VWSA      360  XRAY      1.71  0.178  0.213
5MSDA     1174  XRAY      1.71  0.182  0.215
6W6ZA      156  XRAY      1.71  0.187  0.222
3RC1A      350  XRAY      1.71  0.205  0.234
3P0WA      470  XRAY      1.71  0.229  0.265
5JIOA      487  XRAY     1.711  0.153  0.179
6JR9A      284  XRAY      1.72  0.143  0.164
7X2NA      388  XRAY      1.72  0.162  0.186
4W9WA      306  XRAY      1.72  0.168  0.195
6AONA      478  XRAY      1.72  0.171  0.205
7A9JA      537  XRAY      1.72  0.174  0.208
5D2EA      522  XRAY      1.72  0.185  0.216
4RW3A      302  XRAY      1.72  0.187  0.223
9JN6A      218  XRAY      1.72  0.188  0.222
4LV8A      371  XRAY      1.72  0.196   0.23
2HPSA      186  XRAY      1.72    0.2  0.229
6P7KA      448  XRAY     1.722   0.15  0.169
6P78A      251  XRAY     1.726  0.168    0.2
9FI9A      418  XRAY     1.727  0.156  0.194
6LZJA      308  XRAY     1.728  0.211  0.234
8Z2XA      411  XRAY      1.73  0.138  0.154
8JQ5A      434  XRAY      1.73  0.142  0.187
5N9TA      357  XRAY      1.73  0.164  0.224
6ZXUA      725  XRAY      1.73  0.165  0.194
4YJIA      495  XRAY      1.73  0.167  0.188
8ADBA      215  XRAY      1.73  0.168  0.193
1XV5A      401  XRAY      1.73  0.175  0.205
5QHIA      180  XRAY      1.73  0.176  0.222
2Q3HA      201  XRAY      1.73  0.183  0.222
8JUSA      337  XRAY      1.73  0.185  0.206
5KZLA      212  XRAY      1.73  0.186  0.222
4DF3A      233  XRAY      1.73   0.19  0.234
6IIXA      345  XRAY      1.73  0.191  0.212
3SFVB      344  XRAY      1.73  0.193  0.228
2J5ZA      221  XRAY      1.73  0.204  0.233
8HWPA      328  XRAY      1.73  0.242  0.275
6EI1A      347  XRAY     1.732  0.173  0.203
7VEUA      619  XRAY     1.736  0.157  0.181
6MEZA      360  XRAY      1.74  0.134  0.159
4UZSA      689  XRAY      1.74  0.155  0.193
7Z94A      433  XRAY      1.74  0.163  0.188
2YN4A      236  XRAY      1.74  0.164  0.203
5XTKA      152  XRAY      1.74  0.168  0.197
4OYZA      470  XRAY      1.74  0.169  0.203
9EIAA      425  XRAY      1.74  0.176  0.212
2Q28A      564  XRAY      1.74  0.178  0.196
7R2EA      345  XRAY      1.74  0.186   0.23
6Y5PA      235  XRAY      1.74  0.187  0.214
6XL2A      305  XRAY      1.74   0.19   0.23
1G60A      260  XRAY      1.74  0.199  0.221
8OK7A      419  XRAY      1.74  0.239  0.261
4EU5A      514  XRAY     1.743   0.17  0.209
4Z9NA      328  XRAY     1.745  0.152  0.183
5D08A      437  XRAY     1.747  0.169  0.196
4GNCA      299  XRAY     1.749  0.197   0.23
7D1DA      309  XRAY      1.75  0.135  0.179
6H6CA      151  XRAY      1.75  0.135  0.209
3TH0A      559  XRAY      1.75  0.137  0.156
4PEXA      561  XRAY      1.75  0.142  0.172
1NQUA      154  XRAY      1.75  0.142  0.157
5CXWA      430  XRAY      1.75  0.149  0.189
1H1IA      350  XRAY      1.75   0.15  0.183
8APZA      437  XRAY      1.75  0.151  0.185
6NFEA      323  XRAY      1.75  0.152  0.176
3RPHA      279  XRAY      1.75  0.154  0.182
8T0WA      387  XRAY      1.75  0.157  0.182
4RXMA      292  XRAY      1.75  0.157  0.187
3TGWA      460  XRAY      1.75  0.161  0.197
6FQEA      340  XRAY      1.75  0.161  0.186
5GG6A      342  XRAY      1.75  0.164  0.204
6GMOA      446  XRAY      1.75  0.165  0.198
6SUKA      699  XRAY      1.75  0.166    0.2
4QATA      201  XRAY      1.75  0.166  0.194
7UBZB      313  XRAY      1.75  0.167  0.188
2HAWA      309  XRAY      1.75  0.167  0.186
7UBZA      230  XRAY      1.75  0.167  0.188
3BOSA      242  XRAY      1.75  0.168  0.201
4BR5A      457  XRAY      1.75   0.17    0.2
3QRYA      426  XRAY      1.75  0.172  0.218
2I74A      189  XRAY      1.75  0.174  0.208
7E1GA      355  XRAY      1.75  0.176  0.213
4JCWA      202  XRAY      1.75  0.176  0.225
3OXHA      282  XRAY      1.75  0.178  0.212
9EVQA      226  XRAY      1.75  0.179  0.205
7D5MA      397  XRAY      1.75   0.18  0.193
6Y7PA      325  XRAY      1.75   0.18  0.215
6FHOA      399  XRAY      1.75  0.182  0.219
6SLFA      400  XRAY      1.75  0.183   0.21
1CV8A      174  XRAY      1.75  0.183  0.239
1FRWA      194  XRAY      1.75  0.186  0.226
7WJ9A      759  XRAY      1.75  0.187  0.217
5VXTA      325  XRAY      1.75  0.187  0.224
4N7CA      176  XRAY      1.75  0.187  0.213
7VJVA      246  XRAY      1.75  0.191  0.207
1QWZA      235  XRAY      1.75  0.191  0.228
2PS1A      226  XRAY      1.75  0.195  0.217
9F64A      188  XRAY      1.75  0.198  0.224
5MOLA      327  XRAY      1.75  0.199  0.232
2D1GA      498  XRAY      1.75    0.2  0.231
8OK6A      415  XRAY      1.75  0.202  0.235
2II6A      399  XRAY      1.75  0.203  0.247
6ZN1AAA    400  XRAY      1.75  0.204  0.234
2FUEA      262  XRAY      1.75  0.204   0.24
2IPHA      181  XRAY      1.75  0.204  0.221
2QCUA      501  XRAY      1.75  0.206   0.24
8PPGA      279  XRAY      1.75  0.208  0.243
1DQNA      230  XRAY      1.75  0.211  0.234
1WWZA      159  XRAY      1.75  0.213  0.236
4H03B      375  XRAY      1.75  0.217  0.233
8GDLA      361  XRAY      1.75  0.217   0.25
4CCWA      299  XRAY      1.75  0.229  0.267
5X0BA      242  XRAY      1.75   0.23  0.251
5TKLA      363  XRAY     1.751   0.15  0.177
6CICA      421  XRAY     1.752  0.173  0.204
5YDVA      209  XRAY     1.752  0.211  0.253
7KMOA      534  XRAY     1.753  0.196  0.241
5W5RA      418  XRAY     1.754  0.202  0.228
5NCIA      268  XRAY     1.755  0.141  0.169
4NBLA      282  XRAY     1.756  0.156  0.179
3UCPA      874  XRAY      1.76  0.146  0.177
3S2ZA      270  XRAY      1.76  0.146  0.209
3I4ZA      465  XRAY      1.76  0.151  0.183
7KV7AAA    290  XRAY      1.76  0.161  0.202
5LTHA      344  XRAY      1.76  0.166  0.189
6NJYA      248  XRAY      1.76  0.168  0.198
4RK6A      287  XRAY      1.76  0.169  0.198
6WAOA      434  XRAY      1.76  0.174  0.212
8P0OA      622  XRAY      1.76  0.176  0.207
9FTKA      346  XRAY      1.76  0.179  0.215
7LJOA      341  XRAY      1.76  0.179  0.195
1TE2A      226  XRAY      1.76  0.179   0.22
9QYWA      426  XRAY      1.76   0.18  0.209
3PMDA      153  XRAY      1.76   0.18  0.223
3C7TA      263  XRAY      1.76  0.182  0.211
